"Fournisseur";"Code fournisseur";"Designation fournisseur";"Article propose";"Confiance";"Valider O/N";"Si a corriger: bon article"
"Herbes Fines Christian";"";"Pimprenelle 100gr";"Pimprenelle";"haute";"";""
"Herbes Fines Christian";"";"Ciboulette 100gr";"Ciboulette";"haute";"";""
"Herbes Fines Christian";"";"Bourrache 100gr";"Bourrache";"haute";"";""
"Herbes Fines Christian";"";"Sarriette 100gr";"Sarriette";"haute";"";""
"Herbes Fines Christian";"";"Capucine";"Capucine";"haute";"";""
"Herbes Fines Christian";"";"Cerfeuil 100gr";"Cerfeuil";"haute";"";""
"Herbes Fines Christian";"";"Estragon 100gr";"Estragon";"haute";"";""
"Herbes Fines Christian";"";"Basilic 100gr";"Basilic";"moyenne";"";""
"Herbes Fines Christian";"";"Romarin 100gr";"Romarin";"moyenne";"";""
"Herbes Fines Christian";"";"Menthe 100gr";"Menthe";"moyenne";"";""
"Herbes Fines Christian";"";"Thym citronné 100gr";"Citron";"moyenne";"";""
"Koch & Fils";"";"Carton Jarret de porc cuit à braise x 10";"Carton Jarret de porc cuit à braise x 10";"haute";"";""
"Koch & Fils";"8190";"COOKAL SECRET FLAMBAGE COINTREAU 200 ML";"Cookal Secret Flambage Cointreau";"haute";"";""
"Koch & Fils";"";"Jaunes d'Oeufs Liquide Brique";"Jaunes d'Oeufs Liquide Brique";"haute";"";""
"Koch & Fils";"3275";"PDT CRUE EPLUCHEE ENTIERE 1 X 5 KG";"Pdt Crue Epluchee Entiere";"haute";"";""
"Koch & Fils";"2846";"CHOUCROUTE CRUE NOUVELLE 1 X 10 KG";"Choucroute Crue Nouvelle";"haute";"";""
"Koch & Fils";"2724";"BANDE MACARON FRAMBOISE 1 X 6 X 700 G";"Bande Macaron Framboise";"haute";"";""
"Koch & Fils";"";"Sorbet Fraises Angelo";"Sorbet Fraises Angelo";"haute";"";""
"Koch & Fils";"1481";"ESCALOPE FG CANAR CRU UE 40/60 G 1X 5 X 1 KG";"Escalope Fg Canar Cru";"haute";"";""
"Koch & Fils";"";"CG Pistache Angelo";"CG Pistache Angelo";"haute";"";""
"Koch & Fils";"3017";"BOEUF BOURGUIGNON GENISSE CHAROLAISE CB 1 X 2.5 KG";"Boeuf Bourguignon";"haute";"";""
"Koch & Fils";"";"Crème liquide 5L";"Crème liquide 5L";"haute";"";""
"Koch & Fils";"2839";"KASSLER FUME CRU S/OS 1 X 1.6 KG+-";"Kassler Fumé Cru";"haute";"";""
"Koch & Fils";"2857";"TOURTE MARINEE 1 X 2.5 KG+-";"Tourte Marinee";"haute";"";""
"Koch & Fils";"";"Fromage blanc";"Fromage blanc";"haute";"";""
"Koch & Fils";"P0580";"FROMAGE BLANC 40 % MG A.LAIT (7.80%) 1 X 5 KG";"Fromage blanc";"haute";"";""
"Koch & Fils";"3612";"FILET DE POULET EXTRA FRANCE S/A 12 X 200 G";"Poulet Extra";"haute";"";""
"Koch & Fils";"3223";"SAUMON FUME NORVEGE TRAITEUR 26 TR X 40 G";"Saumon fumé";"haute";"";""
"Koch & Fils";"";"CG Vanille";"CG Vanille";"haute";"";""
"Koch & Fils";"P1210";"MASCARPONE AMBROSI 1 X 6 X 500 G";"Mascarpone";"haute";"";""
"Koch & Fils";"2844";"LARD SALE EN 1/2 1 X 2 KG+-";"Lard Sale";"haute";"";""
"Koch & Fils";"2845";"LARD FUME EN 1/2 1 X 2.2+ KG";"Lard Fume";"haute";"";""
"Koch & Fils";"2416";"QUETSCHES (OREILLONS) 1 X 8 X 1 KG";"Quetsche";"haute";"";""
"Koch & Fils";"2824";"CERVELAS 12 X 100 G";"Cervelas";"haute";"";""
"Koch & Fils";"P1275";"TIRAMISU DEBIC 1 X 6 X 1 L";"Tiramisu";"haute";"";""
"Koch & Fils";"3015";"PALERON DE BOEUF VBF 1 X 3.5 KG+-";"Paleron";"moyenne";"";""
"Koch & Fils";"30205";"PALERON ALSACE 2.5 KG+-";"Paleron";"moyenne";"";""
"Koch & Fils";"P1228";"MUNSTER FERMIER LC 17 CM F.MATHIEU 1 X 4 X 750 GR";"Munster";"moyenne";"";""
"Koch & Fils";"28130";"LARDON FRAIS 8/8 SALADE S/ATHMO 1 X 1 KG";"Salade";"moyenne";"";""
"Koch & Fils";"3315";"JARRET BRAISE KOCH 1 X 10 X 700G+-";"Jarret";"moyenne";"";""
"Koch & Fils";"8191";"COOKAL SECRET DE FLAMBAGE CARAMEL 200 ML";"Cookal";"moyenne";"";""
"Koch & Fils";"8193";"COOKAL ECLATS DE CARAMEL 1 X 6 X 375 G";"Cookal";"moyenne";"";""
"Koch & Fils";"P0251";"BEURRE DE CAMPAGNE 500 GR 82% 1 X 10 KG";"Beurre";"moyenne";"";""
"Koch & Fils";"2821";"KNACK D'ALSACE EXTRA - 20 X 50 G";"Knack";"moyenne";"";""
"Koch & Fils";"3645";"CONFIT DE CUISSE CANARD ROUGIE FRANCE ST DE 6PC";"Cuiss";"moyenne";"";""
"Malt et Houblon";"1583";"PINOT NOIR VIEILLES VIGNES GILG 0,75 L";"Pinot Noir Vieilles Vignes Gilg";"haute";"";""
"Malt et Houblon";"881";"RECUPERATION VERRE PERDU UNITE";"Recuperation Verre Perdu Unite";"haute";"";""
"Malt et Houblon";"932";"WHISKY LEHMANN ORIGINE 0,70 L";"Whisky Lehmann Origine";"haute";"";""
"Malt et Houblon";"960";"GENEPI PERES CHARTREUX 0,70 L";"Genepi Peres Chartreux";"haute";"";""
"Malt et Houblon";"2241";"MARTINI BIANCO CRD 1 L";"Martini Bianco Crd";"haute";"";""
"Malt et Houblon";"2242";"MARTINI ROSSO CRD 1 L";"Martini Rosso Crd";"haute";"";""
"Malt et Houblon";"1575";"RIESLING G.C. MOENCHBERG GILG 0,75 L";"Riesling";"haute";"";""
"Malt et Houblon";"1577";"RIESLING MARNES ET CALCAIRE BIO GILG 0,75 L";"Riesling";"haute";"";""
"Malt et Houblon";"1122";"APEROL 1 L";"Aperol";"moyenne";"";""
"Malt et Houblon";"1627";"ORANGE SAUTTER 0,25 L - VC";"Orange";"moyenne";"";""
"Malt et Houblon";"310";"SIROP CITRON JAUNE 1883 ROUTIN 1 L - VP";"Citron";"moyenne";"";""
"Malt et Houblon";"3350";"PULCO CITRON 0,70 L - VP";"Citron";"moyenne";"";""
"Malt et Houblon";"182";"EAU DE VIE POIRE WILLIAMS MICLO 0,70 L";"Poire";"moyenne";"";""
"Promocash";"178449";"250G MGRT CND FUME TRANCHE SAT";"Mgrt Cnd Fume Tranche Sat";"haute";"";""
"Promocash";"994883";"250G GRISSINI ART SESAME CIRO";"Grissini Art Sesame Ciro";"haute";"";""
"Promocash";"047995";"MOUTARDE D'ALSACE DOUCE EN TUB";"Moutarde d'Alsace douce";"haute";"";""
"Promocash";"327302";"290G ASSIET CHARCUT RACLETTE";"Assiet Charcut Raclette";"haute";"";""
"Promocash";"541319";"2X180G TARTARE COUTEAU CHAROLA";"Tartare Couteau Charola";"haute";"";""
"Promocash";"268059";"340G MEP PESTO ROUGE KNORR";"Mep Pesto Rouge Knorr";"haute";"";""
"Promocash";"296497";"1L DECAPANT FOUR JEX PRO";"Decapant Four Jex Pro";"haute";"";""
"Promocash";"831118";"450G PATE CROUTE PISTACHE";"Pate Croute Pistache";"haute";"";""
"Promocash";"146809";"1KG BAKING POWDER ANCEL";"Baking Powder Ancel";"haute";"";""
"Promocash";"289023";"12X42G CUBE LEVURE MENAGE";"Cube Levure Menage";"haute";"";""
"Promocash";"304456";"1L HUILE TOURNESOL CLAIROR";"Huile tournesol";"haute";"";""
"Promocash";"457462";"ST 200G PISSENLIT BLANC FR";"Pissenlit Blanc";"haute";"";""
"Promocash";"754054";"ARTICHAUT PIECE";"Artichaut Piece";"haute";"";""
"Promocash";"652210";"DENTELLE DIAM 10";"Dentelle Diam";"haute";"";""
"Promocash";"652219";"DENTELLE DIAM 11,4";"Dentelle Diam";"haute";"";""
"Promocash";"177389";"750ML DEGRAISSANT SOLIGERM";"Degraissant";"haute";"";""
"Promocash";"021236";"CHOU ROUGE PIECE";"Chou Rouge";"haute";"";""
"Promocash";"099047";"MACHE VRAC";"Mache Vrac";"haute";"";""
